AYUNTAMIENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,,,,,,,,,,,
CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,CAND_IND_1,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040001B0100,'040001B010002,'04,CAMPECHE,'001,CAMPECHE,'0001,1,B,0,1,2,,,,,,,,49,16,11,13,10,14,48,40,45,34,4,25,1,,,310,557,,,,,,,,,,,
'040002B0100,'040002B010002,'04,CAMPECHE,'001,CAMPECHE,'0002,1,B,0,1,2,,,,,,,,7,48,13,26,39,46,10,1,31,23,44,25,9,,,322,655,,,,,,,,,,,
'040003B0100,'040003B010002,'04,CAMPECHE,'001,CAMPECHE,'0003,1,B,0,1,2,,,,,,,,17,13,4,43,37,4,42,25,36,13,33,17,33,,,317,661,,,,,,,,,,,
'040004B0100,'040004B010002,'04,CAMPECHE,'001,CAMPECHE,'0004,1,B,0,1,2,,,,,,,,30,46,29,44,8,34,40,1,30,33,35,33,3,,,366,723,,,,,,,,,,,
'040004C0100,'040004C010002,'04,CAMPECHE,'001,CAMPECHE,'0004,1,C,0,1,2,,,,,,,,2,8,2,17,38,36,44,18,12,41,34,28,27,,,307,723,,,,,,,,,,,
'040004C0200,'040004C020002,'04,CAMPECHE,'001,CAMPECHE,'0004,2,C,0,1,2,,,,,,,,44,34,18,11,45,4,34,45,36,28,48,46,40,,,433,722,,,,,,,,,,,
'040004C0300,'040004C030002,'04,CAMPECHE,'001,CAMPECHE,'0004,3,C,0,1,2,,,,,,,,22,23,33,5,39,35,30,10,25,37,19,47,15,,,340,722,,,,,,,,,,,
'040004C0400,'040004C040002,'04,CAMPECHE,'001,CAMPECHE,'0004,4,C,0,1,2,,,,,,,,15,1,38,39,39,48,23,25,13,36,44,47,6,,,374,722,,,,,,,,,,,
'040004E0100,'040004E010002,'04,CAMPECHE,'001,CAMPECHE,'0004,1,E,0,1,2,,,,,,,,29,12,40,34,40,26,5,3,28,47,7,39,31,,,341,703,,,,,,,,,,,
'040004E0101,'040004E010102,'04,CAMPECHE,'001,CAMPECHE,'0004,1,E,1,1,2,,,,,,,,13,1,40,33,43,37,49,19,47,30,5,7,31,,,355,703,,,,,,,,,,,
'040004E0102,'040004E010202,'04,CAMPECHE,'001,CAMPECHE,'0004,1,E,2,1,2,,,,,,,,45,44,10,38,24,38,3,45,21,42,12,35,22,,,379,703,,,,,,,,,,,
'040004E0103,'040004E010302,'04,CAMPECHE,'001,CAMPECHE,'0004,1,E,3,1,2,,,,,,,,44,42,35,48,32,43,3,5,37,13,22,14,44,,,382,702,,,,,,,,,,,
'040004E0104,'040004E010402,'04,CAMPECHE,'001,CAMPECHE,'0004,1,E,4,1,2,,,,,,,,34,33,10,43,2,9,20,45,28,9,3,32,22,,,290,702,,,,,,,,,,,
'040004E0200,'040004E020002,'04,CAMPECHE,'001,CAMPECHE,'0004,2,E,0,1,2,,,,,,,,47,30,38,31,40,44,25,33,25,9,1,41,3,,,367,720,,,,,,,,,,,
